RefId,IsBadBuy
100001,0
100002,0
100003,0
100004,0
100005,1
100006,0
100007,0
100008,1
100009,0
100010,0
100011,0
100012,0
100013,0
100014,0
100015,0
100016,1
100017,0
100018,0
100019,0
100020,0
100021,0
100022,0
100023,0
100024,0
100025,0
100026,0
100027,0
100028,1
100029,0
100030,1
100031,0
100032,0
100033,0
100034,0
100035,0
100036,0
100037,0
100038,0
100039,0
100040,0
100041,0
100042,0
100043,0
100044,0
100045,0
100046,0
100047,0
100048,0
100049,0
100050,0
100051,0
100052,0
100053,0
100054,0
100055,0
100056,1
100057,0
100058,1
100059,0
100060,0
100061,1
100062,1
100063,0
100064,0
100065,0
100066,0
100067,0
100068,1
100069,0
100070,0
100071,0
100072,0
100073,0
100074,0
100075,0
100076,0
100077,0
100078,0
100079,0
100080,0
100081,0
100082,1
100083,0
100084,0
100085,0
100086,0
100087,0
100088,0
100089,0
100090,0
100091,0
100092,0
100093,0
100094,0
100095,0
100096,1
100097,0
100098,0
100099,0
100100,1
100101,0
100102,0
100103,0
100104,0
100105,1
100106,0
100107,0
100108,0
100109,0
100110,0
100111,0
100112,0
100113,0
100114,0
100115,0
100116,0
100117,0
100118,1
100119,0
100120,1
100121,0
100122,0
100123,0
100124,0
100125,0
100126,0
100127,0
100128,1
100129,0
100130,0
100131,0
100132,1
100133,0
100134,0
100135,0
100136,1
100137,0
100138,0
100139,1
100140,1
100141,0
100142,1
100143,0
100144,0
100145,0
100146,0
100147,1
100148,0
100149,0
100150,0
100151,1
100152,0
100153,1
100154,0
100155,0
100156,0
100157,0
100158,0
100159,0
100160,0
100161,0
100162,0
100163,0
100164,0
100165,0
100166,1
100167,0
100168,1
100169,0
100170,0
100171,1
100172,1
100173,1
100174,1
100175,0
100176,0
100177,0
100178,1
100179,0
100180,0
100181,0
100182,0
100183,0
100184,0
100185,0
100186,0
100187,0
100188,0
100189,0
100190,0
100191,0
100192,1
100193,1
100194,0
100195,0
100196,0
100197,0
100198,0
100199,0
100200,0
100201,0
100202,0
100203,0
100204,0
100205,0
100206,0
100207,0
100208,0
100209,0
100210,0
100211,0
100212,0
100213,0
100214,0
100215,0
100216,1
100217,0
100218,0
100219,0
100220,1
100221,0
100222,0
100223,1
100224,0
100225,0
100226,0
100227,0
100228,0
100229,0
100230,0
100231,1
100232,0
100233,0
100234,0
100235,0
100236,0
100237,0
100238,0
100239,0
100240,1
100241,0
100242,0
100243,0
100244,0
100245,1
100246,0
100247,0
100248,0
100249,0
100250,0
100251,0
100252,0
100253,0
100254,0
100255,1
100256,0
100257,1
100258,1
100259,0
100260,0
100261,1
100262,0
100263,0
100264,0
100265,0
100266,0
100267,0
100268,0
100269,0
100270,0
100271,1
100272,0
100273,0
100274,1
100275,1
100276,0
100277,0
100278,0
100279,0
100280,0
100281,0
100282,0
100283,0
100284,1
100285,0
100286,0
100287,0
100288,0
100289,0
100290,0
100291,0
100292,0
100293,0
100294,0
100295,0
100296,1
100297,0
100298,0
100299,0
100300,0
100301,0
100302,1
100303,1
100304,1
100305,0
100306,0
100307,0
100308,0
100309,1
100310,0
100311,0
100312,0
100313,0
100314,0
100315,0
100316,0
100317,0
100318,0
100319,0
100320,0
100321,0
100322,0
100323,0
100324,0
100325,0
100326,0
100327,0
100328,0
100329,0
100330,0
100331,0
100332,0
100333,0
100334,0
100335,0
100336,0
100337,1
100338,1
100339,0
100340,0
100341,0
100342,0
100343,0
100344,0
100345,1
100346,0
100347,0
