RefId,IsBadBuy
100001,0
100002,1
100003,0
100004,0
100005,0
100006,1
100007,0
100008,0
100009,0
100010,0
100011,0
100012,1
100013,1
100014,0
100015,0
100016,1
100017,1
100018,0
100019,1
100020,1
100021,1
100022,0
100023,0
100024,0
100025,1
100026,0
100027,0
100028,0
100029,1
100030,1
100031,0
100032,0
100033,1
100034,0
100035,0
100036,0
100037,0
100038,0
100039,0
100040,0
100041,1
100042,0
100043,1
100044,1
100045,0
100046,1
100047,1
100048,1
100049,0
100050,0
100051,1
100052,0
100053,0
100054,0
100055,0
100056,1
100057,1
100058,1
100059,1
100060,0
100061,1
100062,0
100063,1
100064,1
100065,0
100066,0
100067,1
100068,1
100069,0
100070,0
100071,0
100072,0
100073,1
100074,0
100075,1
100076,1
100077,1
100078,0
100079,0
100080,0
100081,1
100082,0
100083,1
100084,1
100085,0
100086,1
100087,1
100088,0
100089,0
100090,0
100091,0
100092,0
100093,0
100094,1
100095,1
100096,0
100097,0
100098,0
100099,1
100100,0
100101,1
100102,0
100103,1
100104,0
100105,1
100106,1
100107,0
100108,1
100109,0
100110,0
100111,0
100112,0
100113,1
100114,0
100115,1
100116,0
100117,1
100118,1
100119,0
100120,0
100121,0
100122,0
100123,1
100124,1
100125,1
100126,0
100127,1
100128,1
100129,1
100130,1
100131,0
100132,1
100133,0
100134,1
100135,0
100136,0
100137,0
100138,1
100139,1
100140,1
100141,1
100142,1
100143,0
100144,1
100145,0
100146,0
100147,1
100148,1
100149,0
100150,1
100151,0
100152,1
100153,1
100154,0
100155,0
100156,0
100157,1
100158,1
100159,0
100160,1
100161,0
100162,1
100163,0
100164,1
100165,1
100166,0
100167,0
100168,0
100169,1
100170,1
100171,1
100172,1
100173,0
100174,0
100175,1
100176,1
100177,0
100178,1
100179,0
100180,0
100181,0
100182,1
100183,0
100184,0
100185,1
100186,0
100187,1
100188,0
100189,0
100190,0
100191,0
100192,1
100193,1
100194,0
100195,1
100196,0
100197,1
100198,1
100199,1
100200,1
100201,0
100202,0
100203,0
100204,0
100205,0
100206,1
100207,0
100208,1
100209,1
100210,1
100211,1
100212,0
100213,1
100214,0
100215,0
