RefId,PurchDate,Auction,VehicleAge,Make,Model,Trim,Color,Transmission,WheelType,VehOdo,Size,MMRAcquisitionAuctionAveragePrice,MMRAcquisitionAuctionCleanPrice,MMRAcquisitionRetailAveragePrice,MMRAcquisitonRetailCleanPrice,MMRCurrentAuctionAveragePrice,MMRCurrentAuctionCleanPrice,MMRCurrentRetailAveragePrice,MMRCurrentRetailCleanPrice,VNST,VehBCost,IsOnlineSale,WarrantyCost,AverageAcquisitionPrice,AverageCurrentPrice,PriceDiff,DepreciationValue,MilesPerYear,EngineSize,WheelDrives,Cylinders,NumDoors,Litres
100001,3,0,5,19,214,21,15,1,2,81054,6,3901.0,4908.0,6706.0,8577.0,4709.0,5827.0,8149.0,9451.0,5,5600.0,0,594,6023.0,7034.0,17.0,-1.0,16000.0,0,3,0,4,-1.0
100002,3,0,4,6,484,75,15,1,2,65805,6,3313.0,4342.0,6667.0,7707.0,3713.0,4578.0,6942.0,8242.0,5,4500.0,0,825,5507.25,5868.75,7.0,-5.0,16000.0,0,3,2,4,-1.0
100003,3,0,8,6,172,105,15,2,1,75419,5,3168.0,4320.0,5826.0,6762.0,2871.0,3822.0,5734.0,6559.0,5,5300.0,0,869,5019.0,4746.5,-5.0,1.0,9000.0,1,0,2,-1,4.2
100004,3,0,3,5,96,91,5,1,1,74722,12,6999.0,9730.0,10743.0,14066.0,7952.0,9910.0,12131.0,13836.0,5,6900.0,0,1623,10384.5,10957.25,6.0,-11.0,25000.0,1,2,2,-1,3.8
100005,3,0,4,3,508,48,15,1,1,80736,7,6742.0,7951.0,11068.0,12885.0,7670.0,9159.0,12596.0,15041.0,5,6800.0,0,1243,9661.5,11116.5,15.0,-7.0,20000.0,0,0,1,4,4.2
100006,3,0,4,3,241,7,7,1,2,65925,3,3983.0,5244.0,7316.0,9194.0,4107.0,5191.0,7638.0,8800.0,5,5700.0,0,1703,6434.25,6434.0,-0.0,-3.0,16000.0,0,3,2,4,-1.0
100007,3,0,5,7,159,82,2,1,1,84498,7,7347.0,8845.0,11092.0,13052.0,7436.0,8766.0,11367.0,12609.0,5,7100.0,0,1243,10084.0,10044.5,-0.0,-6.0,17000.0,0,0,1,4,4.2
100008,3,0,7,4,531,7,3,1,2,54586,12,2139.0,3106.0,5072.0,6424.0,3307.0,4388.0,6228.0,7413.0,5,4800.0,0,1551,4185.25,5334.0,27.0,2.0,8000.0,1,2,2,-1,3.3
100009,3,0,7,3,328,85,15,1,1,66536,3,3522.0,4791.0,7689.0,10460.0,4403.0,5629.0,7512.0,8975.0,5,5800.0,0,2003,6615.5,6629.75,0.0,-2.0,10000.0,0,3,2,2,-1.0
100010,3,0,5,17,419,48,15,1,1,52106,6,2619.0,3561.0,6502.0,7274.0,3160.0,4376.0,6600.0,8074.0,5,4500.0,0,754,4989.0,5552.5,11.0,-2.0,10000.0,0,3,2,4,-1.0
